countries,antall
Afghanistan,4
Albania,10
Algeria,6
American Samoa,5
Andorra,9
Angola,7
Anguilla,7
Antarctica,5
Antigua And Barbuda,7
Argentina,7
Armenia,7
Aruba,5
Australia,9
Austria,8
Azerbaijan,0
Bahamas,6
Bahrain,4
Bangladesh,4
Barbados,10
Belarus,8
Belgium,3
Belize,16
Benin,4
Bermuda,2
Bhutan,8
Bolivia,5
Bosnia And Herzegowina,6
Botswana,5
Bouvet Island,1
Brazil,5
Brunei Darussalam,0
Bulgaria,3
Burkina Faso,5
Burundi,3
Cambodia,8
Cameroon,1
Canada,5
Cape Verde,8
Cayman Islands,8
Central African Rep,9
Chad,4
Chile,9
China,12
Christmas Island,12
Cocos Islands,7
Colombia,3
Comoros,6
Congo,5
Cook Islands,4
Costa Rica,3
Cote D`ivoire,3
Croatia,3
Cuba,2
Cyprus,3
Czech Republic,4
Denmark,3
Djibouti,4
Dominica,8
Dominican Republic,5
East Timor,4
Ecuador,3
Egypt,3
El Salvador,4
Equatorial Guinea,5
Eritrea,6
Estonia,1
Ethiopia,3
Falkland Islands (Malvinas),12
Faroe Islands,1
Fiji,4
Finland,2
France,5
French Guiana,3
French Polynesia,6
French S. Territories,4
Gabon,1
Gambia,2
Georgia,2
Germany,7
Ghana,5
Gibraltar,2
Greece,1
Greenland,0
Grenada,1
Guadeloupe,4
Guam,6
Guatemala,5
Guinea,3
Guinea-bissau,6
Guyana,5
Haiti,3
Honduras,5
